Date;REG1_AC1;LY;REG2_AC1;REG2_AC2;REG3_AC1;REG3_AC2;REG3_AC3;REG5_AC1;REG5_AC2;REG5_AC3;REG5_AC4;REG5_AC5;REG6_AC1;REG6_AC2;REG6_AC3;REG6_AC4;REG6_AC5;REG6_AC6
01/06/2025;-1.705;1.55431E-15;-1.960357143;-0.459642857;-0.171785714;-1.788571429;-0.459642857;-0.120714286;-0.407142857;-0.391428571;-0.378571429;-0.407142857;-0.171785714;-0.458214286;-0.4425;-0.429642857;-0.458214286;-0.459642857
01/07/2025;0.885;7.77156E-16;0.747723214;-0.247098214;-1.249598214;1.997321429;-0.247098214;-1.222142857;0.777142857;0.775714286;0.778571429;-0.224285714;-1.249598214;0.7496875;0.748258929;0.751116071;-0.251741071;-0.247098214
01/08/2025;-2.221111111;7.77156E-16;-1.873839286;0.625089286;-0.374553571;-1.499285714;0.625089286;-0.444007937;-0.444007937;-0.443650794;-0.444007937;-0.445436508;-0.374553571;-0.374553571;-0.374196429;-0.374553571;-0.375982143;0.625089286
01/09/2025;0.89;1.77636E-15;0.751383929;-0.249508929;0.750133929;0.00125;-0.249508929;0.777857143;0.777142857;-0.221785714;-0.221785714;-0.221428571;0.750133929;0.749419643;-0.249508929;-0.249508929;-0.249151786;-0.249508929
01/10/2025;1.331111111;8.88178E-16;1.122455357;-0.375580357;-0.375580357;1.498035714;-0.375580357;-0.333849206;-0.333134921;0.665436508;0.665793651;0.666865079;-0.375580357;-0.374866071;0.623705357;0.6240625;0.625133929;-0.375580357
01/11/2025;-1.555;2.10942E-15;-1.6253125;-0.1265625;-0.125848214;-1.499464286;-0.1265625;-0.111785714;-1.11;-0.111071429;-0.110714286;-0.111428571;-0.125848214;-1.1240625;-0.125133929;-0.124776786;-0.125491071;-0.1265625
01/12/2025;0.889444444;8.88178E-16;0.7496875;-0.2515625;0.747366071;0.002321429;-0.2515625;0.77531746;0.778174603;0.778174603;-1.222539683;-0.21968254;0.747366071;0.750223214;0.750223214;-1.250491071;-0.247633929;-0.2515625
01/01/2026;-0.666111111;0;-0.249866071;0.749241071;-0.249330357;-0.000535714;0.749241071;-0.332579365;-0.332579365;-0.333293651;-0.334365079;0.666706349;-0.249330357;-0.249330357;-0.250044643;-0.251116071;0.749955357;0.749241071
01/02/2026;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/2026;-0.001111111;8.88178E-16;-0.2696875;-0.4834375;0.658348214;-0.928035714;-0.4834375;0.712063492;0.570992063;-0.426865079;-0.429007937;-0.428293651;0.658348214;0.517276786;-0.480580357;-0.482723214;-0.482008929;-0.4834375
01/04/2026;0.236666667;1.77636E-15;0.069107143;-0.301607143;-0.725892857;0.795;-0.301607143;-0.692380952;-0.268809524;0.730833333;0.73547619;-0.268452381;-0.725892857;-0.302321429;0.697321429;0.701964286;-0.301964286;-0.301607143
01/05/2026;-3.695277778;8.88178E-16;-3.325647321;0.665334821;-0.903772321;-2.421875;0.665334821;-0.977698413;-0.405019841;-0.152162698;-0.754305556;-1.40609127;-0.903772321;-0.33109375;-0.078236607;-0.680379464;-1.332165179;0.665334821
01/06/2026;1.406111111;1.9984E-15;1.289642857;-0.209642857;1.078214286;0.211428571;-0.209642857;1.101507937;0.815079365;-0.169206349;-0.156349206;-0.184920635;1.078214286;0.791785714;-0.1925;-0.179642857;-0.208214286;-0.209642857
01/07/2026;0.885;1.22125E-15;0.747723214;-0.247098214;-0.249598214;0.997321429;-0.247098214;-0.222142857;-1.222857143;0.775714286;0.778571429;0.775714286;-0.249598214;-1.2503125;0.748258929;0.751116071;0.748258929;-0.247098214
01/08/2026;-0.665555556;8.32667E-16;-0.873839286;-0.374910714;0.625446429;-1.499285714;-0.374910714;0.667103175;-0.332896825;-0.332539683;-0.332896825;-0.334325397;0.625446429;-0.374553571;-0.374196429;-0.374553571;-0.375982143;-0.374910714
01/09/2026;0.89;1.77636E-15;0.751383929;-0.249508929;-0.249866071;1.00125;-0.249508929;-0.222142857;0.777142857;0.778214286;-0.221785714;-0.221428571;-0.249866071;0.749419643;0.750491071;-0.249508929;-0.249151786;-0.249508929
01/10/2026;-0.224444444;8.88178E-16;0.122455357;0.624419643;-0.375580357;0.498035714;0.624419643;-0.444960317;-0.444246032;-0.445674603;0.55468254;0.555753968;-0.375580357;-0.374866071;-0.376294643;0.6240625;0.625133929;0.624419643
01/11/2026;0.000555556;1.88738E-15;-0.0003125;-0.0015625;0.999151786;-0.999464286;-0.0015625;0.999325397;0.001111111;-0.999960317;0.000396825;-0.00031746;0.999151786;0.0009375;-1.000133929;0.000223214;-0.000491071;-0.0015625
01/12/2026;0.889444444;9.99201E-16;0.7496875;-0.2515625;-0.252633929;1.002321429;-0.2515625;-0.22468254;0.778174603;0.778174603;0.777460317;-1.21968254;-0.252633929;0.750223214;0.750223214;0.749508929;-1.247633929;-0.2515625
01/01/2027;-2.221666667;0;-1.874866071;0.624241071;-0.374330357;-1.500535714;0.624241071;-0.443690476;-0.443690476;-0.444404762;-0.44547619;-0.444404762;-0.374330357;-0.374330357;-0.375044643;-0.376116071;-0.375044643;0.624241071
01/02/2027;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/2027;-0.001111111;8.88178E-16;-0.2696875;-0.4834375;-0.341651786;0.071964286;-0.4834375;-0.287936508;0.570992063;0.573134921;-0.429007937;-0.428293651;-0.341651786;0.517276786;0.519419643;-0.482723214;-0.482008929;-0.4834375
01/04/2027;1.792222222;1.88738E-15;1.694107143;-0.176607143;0.399107143;1.295;-0.176607143;0.418730159;-0.157698413;-0.158055556;0.846587302;0.84265873;0.399107143;-0.177321429;-0.177678571;0.826964286;0.823035714;-0.176607143
01/05/2027;-0.584166667;6.66134E-16;-1.325647321;-1.334665179;0.096227679;-1.421875;-1.334665179;0.24452381;-0.182797619;0.070059524;-0.532083333;-0.183869048;0.096227679;-0.33109375;-0.078236607;-0.680379464;-0.332165179;-1.334665179
01/06/2027;1.406111111;1.77636E-15;1.289642857;-0.209642857;0.078214286;1.211428571;-0.209642857;0.101507937;0.815079365;0.830793651;-0.156349206;-0.184920635;0.078214286;0.791785714;0.8075;-0.179642857;-0.208214286;-0.209642857
01/07/2027;-0.670555556;8.88178E-16;-0.252276786;0.752901786;-0.249598214;-0.002678571;0.752901786;-0.333253968;-0.333968254;-1.335396825;0.667460317;0.664603175;-0.249598214;-0.2503125;-1.251741071;0.751116071;0.748258929;0.752901786
01/08/2027;0.89;8.32667E-16;0.751160714;-0.249910714;0.750446429;0.000714286;-0.249910714;0.778214286;0.778214286;-0.221428571;-0.221785714;-0.223214286;0.750446429;0.750446429;-0.249196429;-0.249553571;-0.250982143;-0.249910714
01/09/2027;0.89;1.77636E-15;0.751383929;-0.249508929;-0.249866071;1.00125;-0.249508929;-0.222142857;-0.222857143;0.778214286;0.778214286;-0.221428571;-0.249866071;-0.250580357;0.750491071;0.750491071;-0.249151786;-0.249508929
01/10/2027;-1.78;8.88178E-16;-1.502544643;0.499419643;-0.500580357;-1.001964286;0.499419643;-0.556071429;-0.555357143;-0.556785714;-0.556428571;0.444642857;-0.500580357;-0.499866071;-0.501294643;-0.5009375;0.500133929;0.499419643
01/11/2027;0.000555556;1.66533E-15;-0.0003125;-0.0015625;-0.000848214;0.000535714;-0.0015625;-0.000674603;1.001111111;3.96825E-05;-0.999603175;-0.00031746;-0.000848214;1.0009375;-0.000133929;-0.999776786;-0.000491071;-0.0015625
01/12/2027;2.445;6.66134E-16;1.7496875;-1.2515625;-0.252633929;2.002321429;-1.2515625;-0.113571429;-0.110714286;0.889285714;0.888571429;0.891428571;-0.252633929;-0.249776786;0.750223214;0.749508929;0.752366071;-1.2515625
01/01/2028;-0.666111111;0;-0.874866071;-0.375758929;0.625669643;-1.500535714;-0.375758929;0.667420635;-0.332579365;-0.333293651;-0.334365079;-0.333293651;0.625669643;-0.374330357;-0.375044643;-0.376116071;-0.375044643;-0.375758929
01/02/2028;0.86452381;0.757857143;0.847633929;-0.030401786;-0.031473214;0.879107143;-0.030401786;-0.028095238;0.973690476;-0.028095238;-0.025952381;-0.02702381;-0.031473214;0.9703125;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/2028;1.554444444;8.88178E-16;1.3553125;-0.3584375;-0.216651786;1.571964286;-0.3584375;-0.176825397;-0.317896825;0.684246032;0.682103175;0.68281746;-0.216651786;-0.357723214;0.644419643;0.642276786;0.642991071;-0.3584375
01/04/2028;-2.874444444;1.55431E-15;-2.555892857;0.573392857;-0.850892857;-1.705;0.573392857;-0.914603175;-0.491031746;-0.491388889;-0.486746032;-0.490674603;-0.850892857;-0.427321429;-0.427678571;-0.423035714;-0.426964286;0.573392857
01/05/2028;0.971388889;8.88178E-16;0.924352679;-0.084665179;-0.653772321;1.578125;-0.084665179;-0.644365079;0.928313492;1.181170635;-0.420972222;-0.072757937;-0.653772321;0.91890625;1.171763393;-0.430379464;-0.082165179;-0.084665179
01/06/2028;-0.149444444;1.77636E-15;-0.335357143;-0.334642857;-1.046785714;0.711428571;-0.334642857;-1.009603175;-0.296031746;-0.28031746;0.732539683;0.703968254;-1.046785714;-0.333214286;-0.3175;0.695357143;0.666785714;-0.334642857
01/07/2028;-2.226111111;8.88178E-16;-1.877276786;0.627901786;0.625401786;-2.502678571;0.627901786;0.555634921;-0.445079365;-0.446507937;-0.443650794;-1.446507937;0.625401786;-0.3753125;-0.376741071;-0.373883929;-1.376741071;0.627901786
01/08/2028;0.89;8.32667E-16;0.751160714;-0.249910714;-0.249553571;1.000714286;-0.249910714;-0.221785714;-0.221785714;0.778571429;0.778214286;-0.223214286;-0.249553571;-0.249553571;0.750803571;0.750446429;-0.250982143;-0.249910714
01/09/2028;-0.665555556;1.77636E-15;-0.248616071;0.750491071;-0.249866071;0.00125;0.750491071;-0.333253968;-0.333968254;-0.332896825;-0.332896825;0.667460317;-0.249866071;-0.250580357;-0.249508929;-0.249508929;0.750848214;0.750491071
01/10/2028;-0.224444444;8.88178E-16;-0.502544643;-0.500580357;0.499419643;-1.001964286;-0.500580357;0.555039683;0.555753968;-0.445674603;-0.44531746;-0.444246032;0.499419643;0.500133929;-0.501294643;-0.5009375;-0.499866071;-0.500580357
01/11/2028;1.556111111;1.77636E-15;0.9996875;-1.0015625;-0.000848214;1.000535714;-1.0015625;0.110436508;0.112222222;0.111150794;1.111507937;0.110793651;-0.000848214;0.0009375;-0.000133929;1.000223214;-0.000491071;-1.0015625
01/12/2028;-2.221666667;8.88178E-16;-1.8753125;0.6234375;-1.377633929;-0.497678571;0.6234375;-1.446904762;-0.444047619;-0.444047619;-0.444761905;0.558095238;-1.377633929;-0.374776786;-0.374776786;-0.375491071;0.627366071;0.6234375
01/01/2029;0.889444444;0;0.750133929;-0.250758929;-0.249330357;0.999464286;-0.250758929;-0.221468254;0.778531746;0.77781746;-0.223253968;-0.22218254;-0.249330357;0.750669643;0.749955357;-0.251116071;-0.250044643;-0.250758929
01/02/2029;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/2029;-0.001111111;8.88178E-16;0.3553125;0.6415625;-0.216651786;0.571964286;0.6415625;-0.287936508;-0.429007937;-0.426865079;0.570992063;0.571706349;-0.216651786;-0.357723214;-0.355580357;0.642276786;0.642991071;0.6415625
01/04/2029;-1.318888889;1.55431E-15;-1.555892857;-0.426607143;0.149107143;-1.705;-0.426607143;0.196507937;-0.379920635;-0.380277778;-0.375634921;-0.379563492;0.149107143;-0.427321429;-0.427678571;-0.423035714;-0.426964286;-0.426607143
01/05/2029;-0.584166667;1.11022E-15;-0.700647321;-0.209665179;-0.778772321;0.078125;-0.209665179;-0.75547619;-1.182797619;1.070059524;0.467916667;-0.183869048;-0.778772321;-1.20609375;1.046763393;0.444620536;-0.207165179;-0.209665179
01/06/2029;-0.149444444;1.77636E-15;0.289642857;0.790357143;0.078214286;0.211428571;0.790357143;-0.009603175;-0.296031746;-0.28031746;-0.267460317;0.703968254;0.078214286;-0.208214286;-0.1925;-0.179642857;0.791785714;0.790357143
01/07/2029;0.885;8.88178E-16;0.122723214;-1.372098214;0.625401786;-0.502678571;-1.372098214;0.777857143;0.777142857;-0.224285714;-0.221428571;-0.224285714;0.625401786;0.6246875;-0.376741071;-0.373883929;-0.376741071;-1.372098214
01/08/2029;0.89;7.77156E-16;0.751160714;-0.249910714;-0.249553571;1.000714286;-0.249910714;-0.221785714;-0.221785714;-0.221428571;0.778214286;0.776785714;-0.249553571;-0.249553571;-0.249196429;0.750446429;0.749017857;-0.249910714
01/09/2029;-2.221111111;1.77636E-15;-1.873616071;0.625491071;-0.374866071;-1.49875;0.625491071;-0.444365079;-0.445079365;-0.444007937;-0.444007937;-0.443650794;-0.374866071;-0.375580357;-0.374508929;-0.374508929;-0.374151786;0.625491071
01/10/2029;1.331111111;8.88178E-16;1.122455357;-0.375580357;0.624419643;0.498035714;-0.375580357;0.666150794;0.666865079;0.665436508;-0.334206349;-0.333134921;0.624419643;0.625133929;0.623705357;-0.3759375;-0.374866071;-0.375580357
01/11/2029;1.556111111;1.94289E-15;1.6246875;0.1234375;0.124151786;1.500535714;0.1234375;0.110436508;0.112222222;0.111150794;0.111507937;1.110793651;0.124151786;0.1259375;0.124866071;0.125223214;1.124508929;0.1234375
01/12/2029;-2.221666667;9.99201E-16;-1.8753125;0.6234375;0.622366071;-2.497678571;0.6234375;0.553095238;-1.444047619;-0.444047619;-0.444761905;-0.441904762;0.622366071;-1.374776786;-0.374776786;-0.375491071;-0.372633929;0.6234375
01/01/2030;0.889444444;-1.11022E-16;0.750133929;-0.250758929;-0.249330357;0.999464286;-0.250758929;-0.221468254;-0.221468254;0.77781746;0.776746032;-0.22218254;-0.249330357;-0.249330357;0.749955357;0.748883929;-0.250044643;-0.250758929
01/02/2030;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/2030;-1.556666667;8.88178E-16;-1.2696875;0.5165625;-0.341651786;-0.928035714;0.5165625;-0.399047619;-0.540119048;-0.53797619;-0.540119048;0.460595238;-0.341651786;-0.482723214;-0.480580357;-0.482723214;0.517991071;0.5165625
01/04/2030;0.236666667;1.77636E-15;0.069107143;-0.301607143;0.274107143;-0.205;-0.301607143;0.307619048;0.731190476;-0.269166667;-0.26452381;-0.268452381;0.274107143;0.697678571;-0.302678571;-0.298035714;-0.301964286;-0.301607143
01/05/2030;0.971388889;1.11022E-15;0.924352679;-0.084665179;0.346227679;0.578125;-0.084665179;0.355634921;-0.071686508;-0.818829365;0.579027778;0.927242063;0.346227679;-0.08109375;-0.828236607;0.569620536;0.917834821;-0.084665179
01/06/2030;-3.260555556;1.55431E-15;-2.960357143;0.540357143;-1.171785714;-1.788571429;0.540357143;-1.231825397;-0.518253968;-0.502539683;-0.48968254;-0.518253968;-1.171785714;-0.458214286;-0.4425;-0.429642857;-0.458214286;0.540357143
01/07/2030;2.440555556;7.77156E-16;2.372723214;-0.122098214;0.875401786;1.497321429;-0.122098214;0.888968254;0.888253968;0.886825397;-0.11031746;-0.113174603;0.875401786;0.8746875;0.873258929;-0.123883929;-0.126741071;-0.122098214
01/08/2030;-0.665555556;7.77156E-16;-0.248839286;0.750089286;-0.249553571;0.000714286;0.750089286;-0.332896825;-0.332896825;-0.332539683;-0.332896825;0.665674603;-0.249553571;-0.249553571;-0.249196429;-0.249553571;0.749017857;0.750089286
01/09/2030;-0.665555556;1.77636E-15;-0.873616071;-0.374508929;0.625133929;-1.49875;-0.374508929;0.666746032;-0.333968254;-0.332896825;-0.332896825;-0.332539683;0.625133929;-0.375580357;-0.374508929;-0.374508929;-0.374151786;-0.374508929
01/10/2030;1.331111111;8.88178E-16;1.122455357;-0.375580357;-0.375580357;1.498035714;-0.375580357;-0.333849206;0.666865079;0.665436508;0.665793651;-0.333134921;-0.375580357;0.625133929;0.623705357;0.6240625;-0.374866071;-0.375580357
01/11/2030;-1.555;1.66533E-15;-1.0003125;0.9984375;-1.000848214;0.000535714;0.9984375;-1.111785714;-0.11;-0.111071429;-0.110714286;-0.111428571;-1.000848214;0.0009375;-0.000133929;0.000223214;-0.000491071;0.9984375
01/12/2030;-0.666111111;8.88178E-16;-0.8753125;-0.3765625;0.622366071;-1.497678571;-0.3765625;0.664206349;0.667063492;-1.332936508;-0.333650794;-0.330793651;0.622366071;0.625223214;-1.374776786;-0.375491071;-0.372633929;-0.3765625
